roadnumber	country
AL-485	Brasil
AL-486	Brasil
AL-487	Brasil
AL-499	Brasil
AM-010	Brasil
AM-020	Brasil
AM-070	Brasil
AM-175	Brasil
AM-254	Brasil
AM-354	Brasil
AM-363	Brasil
AM-366	Brasil
AM-453	Brasil
AMG-0345	Brasil
Amg-2035	Brasil
AMG-2510	Brasil
AMG 2555	Brasil
AP-010	Brasil
AP-020	Brasil
AP-030	Brasil
AP-070	Brasil
AP-110	Brasil
AP-130	Brasil
AP-140	Brasil
AP-260	Brasil
BA-001	Brasil
BA-002	Brasil
BA-007	Brasil
BA-026	Brasil
BA-028	Brasil
BA-030	Brasil
BA-046	Brasil
BA-052	Brasil
BA-054	Brasil
BA-083	Brasil
BA-084	Brasil
BA-093	Brasil
BA-094	Brasil
BA-099	Brasil
BA-101	Brasil
BA-116	Brasil
BA-120	Brasil
BA-122	Brasil
BA-124	Brasil
BA-126	Brasil
BA-130	Brasil
BA-131	Brasil
BA-135	Brasil
BA-142	Brasil
BA-144	Brasil
BA-148	Brasil
BA-152	Brasil
BA-156	Brasil
BA-158	Brasil
BA-160	Brasil
BA-161	Brasil
BA-172	Brasil
BA-174	Brasil
BA-202	Brasil
BA-210	Brasil
BA-220	Brasil
BA-225	Brasil
BA-233	Brasil
BA-242	Brasil
BA-245	Brasil
BA-250	Brasil
BA-251	Brasil
BA-255	Brasil
BA-262	Brasil
BA-263	Brasil
BA-264	Brasil
BA-265	Brasil
BA-270	Brasil
BA-274	Brasil
BA-275	Brasil
BA-284	Brasil
BA-290	Brasil
BA-291	Brasil
BA-303	Brasil
BA-304	Brasil
BA-316	Brasil
BA-324	Brasil
BA-330	Brasil
BA-349	Brasil
BA-368	Brasil
BA-369	Brasil
BA-374	Brasil
BA-375	Brasil
BA-378	Brasil
BA-381	Brasil
BA-383	Brasil
BA-396	Brasil
BA-398	Brasil
BA-400	Brasil
BA-407	Brasil
BA-409	Brasil
BA-411	Brasil
BA-414	Brasil
BA-415	Brasil
BA-418	Brasil
BA-420	Brasil
BA-421	Brasil
BA-423	Brasil
BA-426	Brasil
BA-430	Brasil
BA-432	Brasil
BA-433	Brasil
BA-438	Brasil
BA-449	Brasil
BA-451	Brasil
BA-458	Brasil
BA-460	Brasil
BA-462	Brasil
BA-479	Brasil
BA-488	Brasil
BA-489	Brasil
BA-493	Brasil
BA-502	Brasil
BA-503	Brasil
BA-504	Brasil
BA-505	Brasil
BA-510	Brasil
BA-512	Brasil
BA-515	Brasil
BA-518	Brasil
BA-521	Brasil
BA-522	Brasil
BA-523	Brasil
BA-524	Brasil
BA-526	Brasil
BA-528	Brasil
BA-530	Brasil
BA-532	Brasil
BA-534	Brasil
BA-535	Brasil
BA-542	Brasil
BA-545	Brasil
BA-576	Brasil
BA-582	Brasil
BA-612	Brasil
BA-617	Brasil
BA-623	Brasil
BA-634	Brasil
BA-650	Brasil
BA-654	Brasil
BA-655	Brasil
BA-660	Brasil
BA-670	Brasil
BA-676	Brasil
BA-680	Brasil
BA-683	Brasil
BA-693	Brasil
BA-696	Brasil
BA-697	Brasil
BA-698	Brasil
BA-781	Brasil
BA-830	Brasil
BA-843	Brasil
BA-849	Brasil
BA-850	Brasil
BA-878	Brasil
BA-881	Brasil
BA-884	Brasil
BA-900	Brasil
BA-940	Brasil
BA-955	Brasil
BA-986	Brasil
BA-987	Brasil
BA-99	Brasil
BG-102	Brasil
BR- 343	Brasil
BR-001	Brasil
BR-006	Brasil
BR-010	Brasil
BR-012	Brasil
BR-013	Brasil
BR-015	Brasil
BR-020	Brasil
BR-021	Brasil
BR-026	Brasil
BR-028	Brasil
BR-030	Brasil
BR-034	Brasil
BR-040	Brasil
BR-046	Brasil
BR-050	Brasil
BR-051	Brasil
BR-052	Brasil
BR-053	Brasil
BR-057	Brasil
BR-060	Brasil
BR-065	Brasil
BR-066	Brasil
BR-070	Brasil
BR-080	Brasil
BR-082	Brasil
BR-083	Brasil
BR-084	Brasil
BR-090	Brasil
BR-093	Brasil
BR-095	Brasil
BR-099	Brasil
BR-100	Brasil
BR-101	Brasil
BR-102	Brasil
BR-104	Brasil
BR-110	Brasil
BR-111	Brasil
BR-116	Brasil
BR-118	Brasil
BR-120	Brasil
BR-122	Brasil
BR-124	Brasil
BR-125	Brasil
BR-129	Brasil
BR-130	Brasil
BR-131	Brasil
BR-135	Brasil
BR-137	Brasil
BR-139	Brasil
BR-140	Brasil
BR-142	Brasil
BR-144	Brasil
BR-145	Brasil
BR-146	Brasil
BR-147	Brasil
BR-148	Brasil
BR-152	Brasil
BR-153	Brasil
BR-154	Brasil
BR-156	Brasil
BR-157	Brasil
BR-158	Brasil
BR-160	Brasil
BR-161	Brasil
BR-162	Brasil
BR-163	Brasil
BR-164	Brasil
BR-165	Brasil
BR-171	Brasil
BR-174	Brasil
BR-181	Brasil
BR-182	Brasil
BR-184	Brasil
BR-185	Brasil
BR-187	Brasil
BR-194	Brasil
BR-196	Brasil
BR-200	Brasil
BR-201	Brasil
BR-202	Brasil
BR-205	Brasil
BR-206	Brasil
BR-207	Brasil
BR-210	Brasil
BR-213	Brasil
BR-215	Brasil
BR-218	Brasil
BR-220	Brasil
BR-222	Brasil
BR-225	Brasil
BR-226	Brasil
BR-227	Brasil
BR-228	Brasil
BR-230	Brasil
BR-232	Brasil
BR-235	Brasil
BR-236	Brasil
BR-237	Brasil
BR-238	Brasil
BR-239	Brasil
BR-241	Brasil
BR-242	Brasil
BR-245	Brasil
BR-246	Brasil
BR-249	Brasil
BR-250	Brasil
BR-251	Brasil
BR-257	Brasil
BR-259	Brasil
BR-262	Brasil
BR-265	Brasil
BR-267	Brasil
BR-270	Brasil
BR-272	Brasil
BR-275	Brasil
BR-277	Brasil
BR-280	Brasil
BR-281	Brasil
BR-282	Brasil
BR-283	Brasil
BR-284	Brasil
BR-285	Brasil
BR-286	Brasil
BR-287	Brasil
BR-290	Brasil
BR-293	Brasil
BR-303	Brasil
BR-304	Brasil
BR-307	Brasil
BR-308	Brasil
BR-316	Brasil
BR-317	Brasil
BR-318	Brasil
BR-319	Brasil
BR-323	Brasil
BR-324	Brasil
BR-327	Brasil
BR-330	Brasil
BR-337	Brasil
BR-338	Brasil
BR-342	Brasil
BR-343	Brasil
BR-349	Brasil
BR-350	Brasil
BR-351	Brasil
BR-352	Brasil
BR-354	Brasil
BR-355	Brasil
BR-356	Brasil
BR-359	Brasil
BR-361	Brasil
BR-362	Brasil
BR-363	Brasil
BR-364	Brasil
BR-365	Brasil
BR-367	Brasil
BR-368	Brasil
BR-369	Brasil
BR-373	Brasil
BR-374	Brasil
BR-375	Brasil
BR-376	Brasil
BR-377	Brasil
BR-379	Brasil
